id	location	interpretation
en_8	conviction	article of faith;strong belief / sentence;condemnation;judgment of conviction
en_10	graze	range;pasture;crop;browse / gray;greyness;grayness;grey
en_13	boulder	bowlder / bold
en_14	whining	yammer;whine;yawp;grizzle / wine
en_17	flies	fly;wing / fell;fly;vanish
en_18	aches	ache;aching / eggs;egg
en_23	hang	hang up / loiter;lounge;linger;lurk;mill around;lallygag;footle;loaf;tarry;mess about;hang around;lollygag;mill about
en_24	proof	cogent evidence / amount;measure;quantity
en_25	class	form;grade;course / elegance
en_34	sparingly	meagrely;slenderly;meagerly / fifth wheel;spare
en_40	feudal	feudalistic / otiose;unavailing;sleeveless;vain;fruitless;futile;ineffectual;meaningless;bootless
en_44	Korea	Dae-Han-Min-Gook;Korean Peninsula;Han-Gook / career;life history
en_48	count	count on;figure;estimate;forecast;calculate;reckon / numerate;number;enumerate
en_57	passion	sexual desire;physical attraction;eros;concupiscence / short-lived;fugacious;transient;transitory;ephemeral;passing
en_58	sentence	string of words;word string;linguistic string / condemnation;conviction;judgment of conviction
en_59	pitch	sound property / delivery
en_60	tooth	os;bone / truth
en_61	pick	take;select;choose;pick out / plunk;pluck
en_67	summarised	sum up;resume;summarise;summarize / summerize;summerise
en_69	pull	pulling / clout
en_73	nuts	nut / ball;egg;ballock;testis;testicle;bollock;orchis;nut
en_75	change	relation / coin
en_79	point	significance;import;aim;meaning;signification;object;objective;target / percentage point;decimal point
en_82	thyme	herbaceous plant;herb / time
en_83	hedges	hedge;hedge in / hedge
en_88	protractor	drafting instrument / tractor
en_93	sentence	string of words;word string;linguistic string / condemnation;conviction;judgment of conviction
en_94	root	bodily structure;complex body part;anatomical structure;body structure;structure / path;route;road;itinerary
en_100	Ludacris	proper name / nonsensical;ridiculous;idiotic;absurd;derisory;cockeyed;ludicrous;preposterous;laughable
en_101	thinner	dilutant;diluent / lean;thin
en_106	grown	big;grownup;full-grown;adult;fully grown / groan;moan
en_107	yuan	kwai / yawn
en_108	clothing	dress;wearable;fit out;wear;apparel;tog;enclothe;habiliment;habilitate;garment;article of clothing;garb;vesture;clothe;raiment / stopping point;close up;last;finale;close down;shutting;conclusion;fold;closing;finish;finis;shut down;close
en_110	Inca	Incan;Inka / ink
en_118	racket	noise / racquet
en_123	mist	fog / miss
en_125	grate	rub / great
en_126	sworded	sword;steel;brand;blade / squalid;sordid;seamy;sleazy;seedy
en_130	blossoming	blossom;bloom;flower / blossom;blossom out;blossom forth;unfold
en_132	chain	business;business organization;business concern;business organisation;concern / ligament
en_133	plant	works;industrial plant / plant life;flora
en_134	Eire	Irish Republic;Republic of Ireland;Ireland / air
en_135	Pharaohs	Pharaoh;Pharaoh of Egypt / fair
en_137	cop	opt out;cop out / copper;bull;fuzz;pig
en_143	ruefully	contritely;remorsefully / rue
en_157	fall	autumn / drop
en_159	dictated	dictate / dictate
en_162	wastefully	prodigally / waistline;waist
en_165	testily	petulantly;irritably;pettishly / exam;test;examination
en_171	beet	common beet;Beta vulgaris;beetroot / trounce;crush;beat out;shell;beat;vanquish
en_174	tied	tied up / tie down;tie up;bind;truss
en_177	puzzle	puzzler;mystifier;teaser / game
en_180	sense	good sense;mother wit;gumption;common sense;horse sense / cent;penny;centime
en_197	queue	waiting line / cue;cue stick;pool stick;pool cue
en_199	bare	au naturel;nude;naked / wear;bear
en_203	poacher	poach / appropriator
en_205	coupe	automobile;auto;car;machine;motorcar / hencoop;chicken coop;coop;henhouse
en_208	shear	fleece / right-down;out-and-out;absolute;sheer;rank;downright
en_211	lion	Panthera leo;king of beasts / lie
en_220	Woody	woodsy;arboreous;arboraceous / proper name
en_222	Herb	flavourer;seasoning;flavouring;flavoring;flavorer;seasoner / proper name
en_224	blue	blue sky;wild blue yonder;blue air / unforeseen;unlooked-for;unanticipated;out of the blue;unseen
en_225	uprooted	deracinate;uproot / root out;deracinate;uproot;extirpate
en_226	bloom	blossom;flower / bluish;blue;blueish
en_228	snags	split;snag;tear;rip;rent / hitch;snag;hang-up;rub
en_231	steal	rip off;rip / steel
en_236	gait	locomotion;travel / gate
en_237	dinghy	rowboat;dory / begrimed;grungy;dingy;grimy;raunchy;grubby
en_245	leafing	leaf / leave;pull up stakes;go away;go forth;depart
en_250	square	foursquare / solid;square meal;hearty;satisfying;substantial
en_251	census	nose count;nosecount / sensory faculty;sensation;sentience;sense;sentiency
en_270	Barry	proper name / inhume;bury;entomb;inter;lay to rest
en_271	snap	snap fastener;press stud / duck soup;walkover;piece of cake;cinch;pushover;breeze;picnic;child's play
en_274	wry	ironic;ironical;dry / rye
en_278	willfully	wilfully / will;testament
en_279	concentration	property / absorption;immersion;engrossment
en_283	calling	vocation;career / call;phone call;telephone call
en_284	steal	rip off;rip / steel
en_295	relief	assuagement;alleviation / relief map;contour map
en_300	strike	strike out / touch
en_304	draft	rough drawing / tipple;draught;potation
en_306	run	zip;travel rapidly;hurry;speed / run out
en_307	landing	platform / arrival
en_308	accident	misadventure;mischance;mishap / fortuity;chance event;stroke
en_313	check	check out / check out
en_316	shot	pellet / crack
en_320	engaging	piquant / betroth;engage;affiance;plight
en_325	greeter	saluter;welcomer / greater
en_326	Guy	guy rope;guy cable;guy wire / proper name
en_327	foot	human foot;pes / pick
en_332	poultry	domestic fowl;fowl / poesy;verse;poetry
en_337	confidants	confidant;intimate / assurance;self-assurance;confidence;authority;sureness;self-confidence
en_344	core	kernel;essence;substance;center;nitty-gritty;centre;sum;heart;marrow;heart and soul;gist;inwardness;meat;pith;nub / center;centre;midpoint
en_346	humorlessly	humourlessly / humerus
en_351	appendix	supplement;postscript;addendum / cecal appendage;vermiform process;vermiform appendix
en_367	God	Supreme Being / good
en_369	vault	bank vault / fault;demerit
en_370	burrows	burrow;tunnel / Burroughs;Edgar Rice Burroughs
en_372	Guerrilla	guerilla;insurgent;irregular / gorilla;Gorilla gorilla
en_373	wax	lipide;lipoid;lipid / works;workings
en_374	rattled	rattle down;spiel off;roll off;rattle off;reel off / rattle
en_383	marooned	maroon / maroon
en_384	recounted	narrate;tell;recount;recite / recount
en_385	bars	bar;saloon;taproom;ginmill;barroom / bar;measure
en_392	principal	head;school principal;head teacher / principle;rule
en_397	steps	measure;step / stair;step
en_399	fired	heat;ignite;wake;fire up;stir up;inflame / flaming;flame up;fire;flame
en_400	stick	stick to;bind;hold fast;adhere;bond / stick to;stick with;follow
en_406	choked	choke;suffocate;gag;strangle / choke;throttle
en_409	Grave	weighty;grievous;heavy / tomb
en_412	coasters	coast / coaster
en_416	tortes	torte / civil wrong;tort
en_421	radiating	radiate / radiate;beam;glow;shine
en_425	strike	onslaught;attack;onrush;onset / ten-strike
en_430	spoiled	spoilt / bad;spoilt
en_437	see	comprehend;perceive / image;fancy;figure;visualize;visualise;project;envision;picture
en_439	mine	excavation / head;mind;psyche;brain;nous
en_440	advanced	throw out;advance / advance
en_441	chew	jaw;masticate;manducate / bawl out;jaw;trounce;chew up;call down;remonstrate;lambaste;take to task;rebuke;chide;lambast;have words;reprimand;scold;chew out;dress down;rag;lecture;call on the carpet;berate
en_444	meatier	meaty / shooting star;meteor;meteoroid
en_445	son	Word;Logos / sun;Sun
en_446	score	grudge;grievance / success
en_447	cannily	presciently / Cannes
en_449	espresso	java;coffee / give tongue to;evince;utter;verbalize;show;express;verbalise
en_453	brushing	brush / brush off;disregard;dismiss;discount;ignore;brush aside;push aside
en_454	Clothed	dress;clad;fit out;habilitate;garment;garb;apparel;tog;clothe;enclothe;raiment / close up;fold;close down;shut down;close
en_458	logs	log / log
en_459	shot	shooting / crack
en_461	thrown	throw / bemuse;throw;discombobulate;bewilder
