id_en	text_en	text_clean	manual_location	manual_type	manual_alternative	generated_location	generated_type	generated_alternative	phrase_en
en_1007	"Save the whales, spouted Tom."	"Save the whales, he spouted."	spouted	homographic	spouted	spouted	homographic	spoke	spouted off
en_1015	If a town's people have low IQs is the population dense?	If a town's people have low IQs is the population dense?	dense	homographic	dense	dense	homographic	stupid	population dense
en_102	A skier retired because he was going downhill.	A skier retired because he was going downhill.	downhill	homographic	downhill	downhill	homographic	deteriorating	going downhill
en_103	"My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils."	"My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils."	grater	homophonic	greater	grater	homophonic	greater	greater of two evils
en_1031	"Staying at the trendy, new hotel was the inn thing to do."	"Staying at the trendy, new hotel was the inn thing to do."	inn	homophonic	in	inn	homophonic	in	the in thing to do
en_1033	"While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said ''It must have been the parkay.''"	"While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said ""It must have been the parkay."""	parkay	homophonic	parquet	parkay	homophonic	parquet	It must have been
en_1047	"Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling."	"Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling."	belle	homophonic	bell	belle	homophonic	bell	for whom the bell tolls
en_1051	"Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it."	"Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it."	philately	homophonic	flatly	philately	homophonic	flatly	flatly denied
en_1059	The whistling fisherman was always out of tuna.	The whistling fisherman was always out of tuna.	tuna	homophonic	tune	tuna	homophonic	tune	out of tune
en_1072	"If you wear a blindfold at the shooting range, you won't know what you're missing."	"If you wear a blindfold at the shooting range, you won't know what you're missing."	missing	homographic	missing	missing	homographic	not seeing	know what you're missing
en_108	"OLD BAKERS never die, they just stop making lots of dough."	"Old bakers never die, they just stop making lots of dough."	dough	homographic	dough	dough	homographic	money	making lots of dough
en_1084	The fireplaces of oriental doctors have an Asian flue.	The fireplaces of oriental doctors have an Asian flue.	flue	homophonic	flu	flue	homophonic	flu	Asian flu
en_1085	After he bought a mirror he became very reflective.	After he bought a mirror he became very reflective.	reflective	homographic	reflective	reflective	homographic	thoughtful	became very reflective
en_110	"''This food tastes of plutonium,'' said Tom glowingly."	"This food tastes of plutonium, he said glowingly."	glowingly	homographic	glowingly	glowingly	homographic	glowing	he said glowingly
en_1106	"OLD TYPISTS never die, they just lose their touch."	"Old typists never die, they just lose their touch."	touch	homographic	touch	touch	homographic	dexterity	lose their touch
en_1107	"''This salad dressing has too much vinegar,'' said Tom acidly."	"This salad dressing has too much vinegar, he said acidly."	acidly	homophonic	acid	acidly	homographic	bitterly	said acidly
en_111	The local baker was paying his staff based on a flourly rate.	The local baker was paying his staff based on a flourly rate.	flourly	homophonic	hourly	flourly	homophonic	hourly	hourly rate
en_1120	"OLD POLITICIANS never die, they just harangue in there."	"Old politicians never die, they just harangue in there."	harangue	homophonic	hang	there	homophonic	their	"never die, they just"
en_1121	Some people find fire drills quite Alarming.	Some people find fire drills quite Alarming.	alarming	homophonic	alarm	Alarming	homographic	causing alarm	quite alarming
en_114	"OLD FLORISTS never die, they just make alternative arrangements."	"Old florists never die, they just make alternative arrangements."	arrangements	homographic	arrangements	arrangements	homographic	plans	make arrangements
en_1144	"Get the stick, Rover! Tom called fetchingly."	"Get the stick, Rover! he called fetchingly."	fetchingly	homophonic	fetch	fetchingly	homographic	charmingly	"Get the stick, Rover!"
en_1146	The fire chief was always asked burning questions.	The fire chief was always asked burning questions.	burning	homographic	burning	burning	homographic	urgent	burning questions
en_1157	They hid from the gunman in a sauna where they could sweat it out.	They hid from the gunman in a sauna where they could sweat it out.	sweat	homographic	sweat	sweat	homographic	endure	sweat it out
en_116	"The astronomer made a claim about a well - known star, but it wasn't sirius."	"The astronomer made a claim about a well-known star, but it wasn't sirius."	sirius	homophonic	serious	sirius	homophonic	serious	wasn't serious
en_1160	"Pink satin was perfect for her gown, yet the debutante appeared even more charming with beaux on either side."	"Pink satin was perfect for her gown, yet the debutante appeared even more charming with beaux on either side."	beaux	homophonic	bow	beaux	homophonic	bows	with beaux on either side
en_1169	"OLD PROFESSORS never die, they just lose their class."	"Old professors never die, they just lose their class."	class	homographic	class	class	homographic	students	lose their class
en_1171	Pasteur was boiling about not being invited.	Pasteur was boiling about not being invited.	boiling	homographic	boiling	boiling	homographic	angry	boiling about
en_1176	Sometimes a pencil sharpener is needed in order to make a good point.	Sometimes a pencil sharpener is needed in order to make a good point.	point	homographic	point	point	homographic	argument	to make a good point
en_1178	Cooks have a lot of spice in their lives.	Cooks have a lot of spice in their lives.	spice	homographic	spice	spice	homographic	excitement	spice in their lives
en_1181	"OLD TREE SURGEONS never die, they are just uprooted."	"Old tree surgeons never die, they are just uprooted."	uprooted	homographic	uprooted	uprooted	homographic	eradicated	"never die, they are just"
en_1184	The trucker explained that he was early because he had had no breaks.	The trucker explained that he was early because he had had no breaks.	breaks	homophonic	brakes	breaks	homographic	rests	no breaks
en_1195	"OLD PLUMBERS never die, they just pipe down."	"Old plumbers never die, they just pipe down."	pipe	homographic	pipe	pipe	homophonic	piped	pipe down
en_1204	The cat in northern Scandinavia always had a lapp to sit on.	The cat in northern Scandinavia always had a lapp to sit on.	lapp	homophonic	lap	lapp	homophonic	lap	sit on a lap
